artist,song_title,label,file_name,tempo,beat_strength_mean,beat_strength_std,beat_regularity_mean,beat_regularity_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_contrast_band0_mean,spectral_contrast_band0_std,spectral_contrast_band1_mean,spectral_contrast_band1_std,spectral_contrast_band2_mean,spectral_contrast_band2_std,spectral_contrast_band3_mean,spectral_contrast_band3_std,spectral_contrast_band4_mean,spectral_contrast_band4_std,spectral_contrast_band5_mean,spectral_contrast_band5_std,spectral_contrast_band6_mean,spectral_contrast_band6_std,zcr_mean,zcr_std,rms_mean,rms_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,tonnetz_1_mean,tonnetz_1_std,tonnetz_2_mean,tonnetz_2_std,tonnetz_3_mean,tonnetz_3_std,tonnetz_4_mean,tonnetz_4_std,tonnetz_5_mean,tonnetz_5_std,tonnetz_6_mean,tonnetz_6_std
Alex Warren,Ordinary,hits,Alex Warren - Ordinary.wav,112.34714673913044,1.4583855867385864,1.5600860118865967,0.5353254998969285,0.01847976439935437,1434.4334910797106,818.7309066746349,1992.550411228587,589.0471444167215,2776.0332137069468,1996.8897616071345,23.01573188499868,5.7440070265267735,17.498366000454755,5.049774869700725,22.81835561619776,4.844272952295912,18.393394009337914,3.85110932920391,19.317482667310443,3.6473222785836787,17.913234777121534,3.226747174765865,18.78187300334062,3.4983150031529506,0.04772495706753096,0.038293888737552906,0.20357686281204224,0.08202916383743286,-151.98672485351562,74.75536346435547,128.66050720214844,37.34751892089844,13.620491027832031,23.647642135620117,22.09050941467285,18.61096954345703,15.487359046936035,16.639461517333984,2.0126960277557373,13.443662643432617,-13.96551513671875,14.996784210205078,-3.9608521461486816,14.367362022399902,-10.11533260345459,12.098543167114258,-5.7127485275268555,11.169920921325684,-0.5642504692077637,10.678068161010742,-1.982643961906433,8.991031646728516,-3.2734968662261963,8.568819999694824,0.16646310687065125,0.17103257775306702,0.25949159264564514,0.28456470370292664,0.34311893582344055,0.367740273475647,0.3145850598812103,0.27784380316734314,0.40454989671707153,0.37507423758506775,0.27937278151512146,0.23517966270446777,0.3578898310661316,0.3519282341003418,0.2691815197467804,0.3004908859729767,0.1890408992767334,0.16867460310459137,0.34093591570854187,0.3686060309410095,0.20206226408481598,0.1696275919675827,0.2755199670791626,0.3187159299850464,0.3083508590733527,0.1508737262953521,-0.10146027718719597,0.20967886608492492,0.02036843130951717,0.21065839467253156,-0.07012220888147061,0.318049548096131,-0.001282659292851278,0.11749663880672336,-0.01841663598824878,0.10112901701382407
Aliyah's Interlude,Kryptonite,hits,Aliyah's Interlude - Kryptonite.wav,112.34714673913044,1.9988312721252441,2.0620925426483154,0.5249368318756075,0.018965058220042047,2581.1861345423154,1151.64444204004,2651.2694898292884,557.4632575933333,5453.55035646043,2066.7488321377946,19.901414233356235,5.387572325359778,13.646129706689425,4.015159154311457,16.854766684648283,4.572522742861863,16.18918629596655,3.4355936652909373,16.861011206729422,3.190399459004578,18.812681667546908,3.3191331282207273,17.993392656878598,2.7657870929144424,0.10140566043440402,0.09997488910005993,0.36865466833114624,0.1571582555770874,-28.2301025390625,55.36253356933594,77.15660095214844,35.97854995727539,-5.967491626739502,30.066753387451172,21.42068099975586,20.85817527770996,8.456018447875977,19.73474884033203,0.2257227897644043,16.39061164855957,9.453758239746094,12.808709144592285,2.288609743118286,12.345108985900879,5.206381320953369,11.738065719604492,10.619670867919922,9.98486328125,5.720485687255859,10.684457778930664,5.812364101409912,9.234611511230469,-0.6902493834495544,9.781813621520996,0.3789563775062561,0.24720753729343414,0.4061615765094757,0.25623875856399536,0.44379833340644836,0.2588672339916229,0.5316523313522339,0.27566346526145935,0.6192181706428528,0.31295332312583923,0.6460103392601013,0.31534358859062195,0.5719810724258423,0.30628538131713867,0.4883776605129242,0.27619102597236633,0.4773212969303131,0.28722459077835083,0.4618346095085144,0.28149503469467163,0.46737435460090637,0.26841557025909424,0.46232935786247253,0.2976112961769104,-0.0724755962807427,0.08654078557670511,0.0818418717631536,0.08292554097901461,-0.03368851261706522,0.06482920386502748,0.042211883174811435,0.10667351437970071,-0.022172150820474735,0.05160038069839426,0.014479027523917925,0.03163568082617684
Anne-Marie,FRIENDS,hits,Anne-Marie - FRIENDS.wav,95.703125,1.6933212280273438,1.5713820457458496,0.6353823953823954,0.03211768095653633,3088.244380899597,971.1566958994043,2829.2323019648948,396.37099693533526,6341.353321370695,1769.528558419236,19.883359020981352,5.874681371865045,18.53202789828258,5.308671760472913,19.33637861221994,4.965831472871356,18.911870389759986,4.517512522507452,19.901899608500816,4.160762655639337,22.070189281359394,5.77775611078449,19.6484731322386,4.172728323103687,0.1399832805243808,0.08631089890804436,0.2615106999874115,0.0886642336845398,-37.228214263916016,55.53076171875,54.81334686279297,35.43809127807617,-10.337141036987305,30.336313247680664,3.853013753890991,24.885848999023438,-1.6968525648117065,19.179872512817383,-3.295574188232422,16.000364303588867,5.947608947753906,14.907917022705078,-10.279157638549805,15.59996223449707,-8.089069366455078,11.974882125854492,-0.7136712074279785,12.797904968261719,-17.995216369628906,11.341523170471191,-6.341723442077637,9.618406295776367,-16.459165573120117,10.563933372497559,0.4788604974746704,0.38687774538993835,0.34220466017723083,0.27389848232269287,0.34635627269744873,0.3557957708835602,0.2469097375869751,0.24160286784172058,0.3367635905742645,0.327615350484848,0.21788804233074188,0.21170338988304138,0.1945907473564148,0.22039231657981873,0.2217782586812973,0.2418789267539978,0.2783508598804474,0.2286853939294815,0.44805172085762024,0.37303534150123596,0.28945356607437134,0.24318347871303558,0.34483960270881653,0.31951284408569336,0.16302768634498355,0.173753732079811,0.0743357506058882,0.19336421396918488,-0.07962577411996527,0.20464235459508523,0.11296408247521894,0.16878572272163314,-0.007782333392646125,0.06247211540248254,0.04626841422550825,0.08634296690675394
Bankzitters,Harder Dan Ik Spenden Kan,hits,Bankzitters - Harder Dan Ik Spenden Kan.wav,95.703125,1.8043783903121948,1.944589376449585,0.625858777619575,0.01731368328944393,2926.510734893534,1087.4910208848446,2807.900483680463,536.5801025091096,6147.46282713332,2005.619430902821,20.404304331607392,5.460961179598406,15.268839899842462,4.468407963684937,18.378870720961334,4.378404227783419,17.90986267559453,3.7293948951816978,18.45936708416919,3.6586463909614033,19.998760395433603,6.143713461507614,18.77795921101755,4.189541071479454,0.11439802329237617,0.0784363609224554,0.28641435503959656,0.11784498393535614,-32.89427185058594,59.222320556640625,71.14129638671875,37.67314147949219,8.365800857543945,32.830562591552734,25.560752868652344,16.8038272857666,15.43222713470459,18.76694679260254,3.6971700191497803,15.934191703796387,4.5376739501953125,13.76369857788086,3.639801502227783,12.040363311767578,-7.463734149932861,13.094018936157227,7.540971755981445,10.73660659790039,-4.9974517822265625,11.046348571777344,6.84316349029541,11.337299346923828,-4.8254313468933105,9.307753562927246,0.38873064517974854,0.26125001907348633,0.3191576898097992,0.23045171797275543,0.35508179664611816,0.2684127688407898,0.43672728538513184,0.2732088565826416,0.5712383985519409,0.3167252838611603,0.43042874336242676,0.27590617537498474,0.4154755175113678,0.27244773507118225,0.4468052089214325,0.2875545620918274,0.4359966218471527,0.29242920875549316,0.5096667408943176,0.335096538066864,0.46388447284698486,0.2866610586643219,0.5184834599494934,0.3149024248123169,0.19094129262033852,0.18117346052051211,-0.06863153987376501,0.11130715482088098,-0.019156243627237134,0.20965121842954781,0.14652735448547569,0.17513949048521463,0.037405868858056746,0.06641567449282937,0.015735987287148864,0.10037354069708851
Beezy2janky,Viral,hits,Beezy2janky - Viral.wav,99.38401442307692,2.056401491165161,1.8929108381271362,0.6061375661375662,0.02813656839394739,2938.007872745326,1333.8734442853386,2741.707750875822,546.1914058457537,6005.155354313806,2359.1575218901103,20.17570528424128,4.971928689349224,15.355800076369166,4.61325519116084,18.138021380143144,4.468998629987633,16.450761025421443,3.6645722603245776,17.79569677150358,3.4182021014880632,20.47761386955276,5.862045778212409,18.822763144274862,3.6723039022676547,0.13800445651122292,0.11193742590674409,0.17279215157032013,0.07759356498718262,-73.93595123291016,58.138553619384766,83.16498565673828,46.99220275878906,2.6686723232269287,30.206998825073242,3.4043679237365723,20.657804489135742,13.027008056640625,18.67304039001465,-0.8290203213691711,14.26220703125,-1.159225344657898,13.31296157836914,-0.4815412163734436,13.815890312194824,-12.904839515686035,13.15393352508545,5.081413745880127,12.236252784729004,-8.282414436340332,11.60140323638916,8.547246932983398,9.594950675964355,7.818320274353027,10.753989219665527,0.3850769102573395,0.2654781639575958,0.4241012632846832,0.2620687186717987,0.5995648503303528,0.30558812618255615,0.6120366454124451,0.3063336908817291,0.47564876079559326,0.3149397671222687,0.3960404098033905,0.3101178705692291,0.33206865191459656,0.2696572542190552,0.3291487991809845,0.2630701959133148,0.34760868549346924,0.2772287130355835,0.3654765188694,0.25607582926750183,0.43149474263191223,0.28635063767433167,0.4079967439174652,0.26829588413238525,-0.1411365623403172,0.16282698093737663,0.026620354073336207,0.07392562890799936,0.17913755098676365,0.21826620555372694,-0.008846217198023702,0.09413343513877678,0.005587071988900783,0.0416333100090657,0.07323255892659199,0.08040237283691375
Benson Boone,Slow It Down,hits,Benson Boone - Slow It Down.wav,95.703125,1.6855132579803467,1.470536470413208,0.6313851498046026,0.0453496810157943,2780.455048337319,1010.493050834608,2741.4885627716203,461.81070166426304,5817.664821376741,1856.7059044733255,21.616969179088404,4.198010319009554,17.973589021677448,4.467469011881765,21.761454777833837,5.093760056829493,20.268337179106222,4.211651178874041,20.7111519100552,4.477610558940055,20.052658316874222,4.521160987499061,20.530575381173676,4.581603616729351,0.11077257280379257,0.06292617321169833,0.20824310183525085,0.05837339907884598,-63.446624755859375,57.410945892333984,76.15584564208984,36.97193145751953,8.929777145385742,19.01911735534668,14.945460319519043,18.491832733154297,6.309459686279297,13.35527515411377,11.6738862991333,12.30370044708252,-12.829564094543457,12.005908012390137,-0.010345553047955036,10.119282722473145,1.0084826946258545,8.982608795166016,-13.095792770385742,9.806928634643555,1.3375409841537476,10.680168151855469,-4.292324066162109,8.008244514465332,-5.99288272857666,9.28441333770752,0.39296630024909973,0.3526880443096161,0.3221870958805084,0.3301309049129486,0.25019556283950806,0.21446968615055084,0.36789101362228394,0.35648903250694275,0.20734082162380219,0.20762936770915985,0.24250619113445282,0.30419254302978516,0.19259637594223022,0.20775865018367767,0.27632811665534973,0.26354166865348816,0.420860230922699,0.3840937912464142,0.302327424287796,0.2692827880382538,0.2923094928264618,0.3122657835483551,0.2472921758890152,0.23817047476768494,-0.3228912455260294,0.12696348737715168,-0.06876593342422241,0.16303115212605285,-0.03532834498438164,0.2540872113790163,0.2133121518497482,0.23247887271117829,-0.020183981995906042,0.11969189782932269,-0.03469540829737473,0.07448271499321034
Benson Boone,Sorry I'm Here for Someone Else,hits,Benson Boone - Sorry I'm Here for Someone Else.wav,151.99908088235293,1.4920951128005981,1.6135663986206055,0.39833668678739104,0.012716831417399075,2539.413471760611,821.9257831636588,2678.5612798066777,398.1206340975143,5548.8581134807955,1524.7410316663024,19.434230040418747,4.3630938533555925,13.81744310930802,4.011278414523839,18.07086905837809,4.419172635258336,17.241945919937212,3.9794769130292638,17.49054600583489,3.5090378100191604,16.22355777289436,2.7435425868624286,17.21573322173226,1.9871532860962653,0.09224925321691177,0.053044875978497295,0.2731669843196869,0.08143755048513412,-21.516401290893555,42.49606704711914,82.44081115722656,27.59028434753418,6.551502227783203,17.16140365600586,27.809301376342773,12.240405082702637,7.165868759155273,8.328630447387695,13.596434593200684,8.522839546203613,2.051135301589966,7.9671406745910645,6.861298084259033,7.121089935302734,2.9649953842163086,6.242861747741699,7.303220272064209,6.542219638824463,4.142776966094971,7.104741096496582,6.735891342163086,6.067538261413574,1.9843130111694336,5.745763301849365,0.3295494019985199,0.24875321984291077,0.4932309687137604,0.2897346019744873,0.6163468956947327,0.3468059003353119,0.4677148163318634,0.28051337599754333,0.5437399744987488,0.34805330634117126,0.4199918806552887,0.2717216908931732,0.44777846336364746,0.3215848505496979,0.3496430218219757,0.26124539971351624,0.35201141238212585,0.27010637521743774,0.3897435665130615,0.2821912467479706,0.32388627529144287,0.23713019490242004,0.3475036025047302,0.27163875102996826,0.08698018111011994,0.058995872832935045,0.007309008094494669,0.05219605873951607,0.025131863135348032,0.1018584612849722,-0.024963514902413112,0.08205839322726599,0.01617937673220807,0.040018186537830486,-0.008497531554984561,0.03186865975543621
Beéle,top diesel - 5020 RCRDS Sessions,hits,Beéle - top diesel - 5020 RCRDS Sessions.wav,129.19921875,1.5405768156051636,1.7098404169082642,0.46040816326530615,0.022689519620868452,2705.844122897789,902.2385194991575,2816.94386503859,517.6177341452915,5916.747555570337,1958.7942982916395,18.655821484863893,4.628175277655182,16.308193384626257,4.066069201235949,20.21782410985367,4.737421653678724,18.041188449835293,4.070674519131222,19.64427176571755,4.159621244201446,19.688905612871984,4.487767150780437,18.618391393773052,3.7825371946353386,0.11740820917182662,0.06300180609323099,0.24551326036453247,0.0972692146897316,-42.75893020629883,70.69036865234375,83.16939544677734,33.44411087036133,14.224334716796875,22.099821090698242,20.46762466430664,18.694007873535156,2.5562868118286133,12.371519088745117,7.645683765411377,10.743139266967773,3.7724313735961914,11.695051193237305,-11.085216522216797,12.113855361938477,4.6181559562683105,11.67313003540039,-0.05543307960033417,8.94143009185791,-3.544992208480835,7.643905162811279,5.116399765014648,9.13979434967041,-2.7752039432525635,9.105550765991211,0.3669646978378296,0.3114128112792969,0.25888916850090027,0.1998363882303238,0.378803014755249,0.34592747688293457,0.3001016676425934,0.21814300119876862,0.45365607738494873,0.3591292202472687,0.2799871563911438,0.2568661868572235,0.27263471484184265,0.2440395951271057,0.4207601547241211,0.36221134662628174,0.3131486177444458,0.24312113225460052,0.4004833996295929,0.335210382938385,0.27540308237075806,0.21798203885555267,0.37590697407722473,0.30513912439346313,0.1529083582208718,0.0840080685489101,0.07118854125888088,0.10373187947733457,0.02113180462020074,0.14824170674329668,0.03591181818415974,0.12926745268977397,0.012786030788077258,0.04541983682590539,-0.0026386813215561493,0.05298544543337104
Beéle,top diesel,hits,Beéle - top diesel.wav,135.99917763157896,2.120285749435425,3.274275064468384,0.44553287981859413,0.03356744419039009,2420.905533477626,1083.656783098241,2746.670302812651,604.5799198960057,5484.000172334559,2391.6150105320235,21.365323595321975,5.165888453121817,16.737950446007794,4.9892580168748095,19.211146296878795,5.2461136368683325,17.827054290129823,3.9712483699886194,18.026416983989893,3.9413678392421208,16.867009853745575,3.1744433299570205,18.140996489663067,3.477585605368273,0.0707127243372678,0.04973273865210121,0.3251616656780243,0.13683122396469116,-71.76203918457031,107.3194808959961,80.13971710205078,39.390323638916016,29.334352493286133,22.867143630981445,25.670955657958984,22.582855224609375,5.9542717933654785,13.567700386047363,12.402679443359375,12.506143569946289,0.29261425137519836,14.391386032104492,2.9502577781677246,12.193881034851074,7.452236652374268,12.685603141784668,-1.62944495677948,11.206701278686523,-5.664872169494629,10.127567291259766,0.8181132674217224,9.9468994140625,-5.130745887756348,9.679988861083984,0.38865044713020325,0.3159731924533844,0.303969144821167,0.2413952499628067,0.36700013279914856,0.3334672152996063,0.31244587898254395,0.25646838545799255,0.3682083785533905,0.3280584216117859,0.32569366693496704,0.2953947186470032,0.29251229763031006,0.2540932297706604,0.39165234565734863,0.3325197994709015,0.3936763107776642,0.2807215750217438,0.44795137643814087,0.34690162539482117,0.41079410910606384,0.32321619987487793,0.40471500158309937,0.30368393659591675,0.06317889248626954,0.0862656551362347,0.07246974206851524,0.09959658566576213,-0.026265806151589105,0.14972947634298964,0.0006747649028896398,0.12855502678402475,0.013139023766070974,0.04915564256071085,0.0022012587652388534,0.05974687483556953
Billy Idol,Eyes Without A Face - Remastered 1999,hits,Billy Idol - Eyes Without A Face - Remastered 1999.wav,86.1328125,1.4242682456970215,1.4601118564605713,0.6954929273296621,0.02678928503214689,2640.972196438133,882.1927874333735,2705.0650838991505,356.5121948051811,5728.4903606025055,1446.4550924479747,21.12290662664678,4.673530493334846,16.110653593623006,4.332097848806741,19.526842286206254,3.7227958524295484,17.96375723154075,3.1679081637203543,17.475721912379775,3.093082575916984,16.941944825401322,2.8305658707543393,18.64619720062413,2.667076166422475,0.09966115095297988,0.06420410343605254,0.14880597591400146,0.0674319714307785,-110.10232543945312,45.65229797363281,68.96636962890625,28.673114776611328,15.124051094055176,22.461423873901367,39.861785888671875,13.454750061035156,2.6747303009033203,13.748507499694824,14.708658218383789,10.83656120300293,3.6920297145843506,8.627429008483887,9.747269630432129,8.958991050720215,-0.7184495329856873,9.46749496459961,8.59801197052002,8.300440788269043,0.2371874302625656,7.703089714050293,3.549565553665161,6.621673107147217,-0.5664858222007751,7.6690239906311035,0.4444216191768646,0.2741738557815552,0.5224024653434753,0.31944969296455383,0.5207385420799255,0.30084288120269775,0.5557982325553894,0.2917540371417999,0.4151901304721832,0.2967447340488434,0.3235480785369873,0.23631751537322998,0.3920362591743469,0.29194334149360657,0.36450475454330444,0.2342483550310135,0.4501982033252716,0.3254944086074829,0.34114882349967957,0.2393258959054947,0.376421183347702,0.2400832623243332,0.49948686361312866,0.311548113822937,0.0015758356700994974,0.09717342219018035,-0.085657509632553,0.07390652453661775,0.004126566769295176,0.16034780423747272,0.05548704942131823,0.13404531898507843,-0.014378621862200108,0.05870598667951563,-0.023019238697341883,0.04024618220930888
